"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel";"sequence"
"103";NA;"LOC";36;"haar";2;1012867;6;25
"104";NA;"LOC";36;"haar";2;1021201,5;6;26
"105";NA;"LOC";36;"haar";2;1026795,5;6;27
"106";NA;"LOC";36;"haar";2;1024948,5;6;28
"107";NA;"LOC";36;"haar";2;1020900,5;6;29
"108";NA;"LOC";36;"haar";2;1027944,5;6;30
"109";NA;"LOC";36;"haar";2;1468219;6;31
"110";NA;"LOC";36;"haar";2;2934487;6;32
"111";NA;"LOC";36;"haar";2;3071462,5;6;33
"112";NA;"LOC";36;"haar";2;3127664;6;34
"113";NA;"LOC";36;"haar";2;3335639;6;35
"114";NA;"LOC";36;"haar";2;3451271;6;36
"115";NA;"LOC";36;"haar";2;3313714;6;37
"116";NA;"LOC";36;"haar";2;3336137,5;6;38
"117";NA;"LOC";36;"haar";2;3328258,5;6;39
"118";NA;"LOC";36;"haar";3;60701,5816309591;5;1
"119";NA;"LOC";36;"haar";3;594640,033425265;5;2
"120";NA;"LOC";36;"haar";3;768287,781215151;5;3
"121";NA;"LOC";36;"haar";3;887409,818000961;5;4
"122";NA;"LOC";36;"haar";3;939094,37395823;5;5
"123";NA;"LOC";36;"haar";3;1237566,9747242;5;6
"124";NA;"LOC";36;"haar";3;1416790,61303713;5;7
"125";NA;"LOC";36;"haar";3;1333720,06193672;5;8
"126";NA;"LOC";36;"haar";3;1302022,23270308;5;9
"127";NA;"LOC";36;"haar";3;1383344,10873361;5;10
"128";NA;"LOC";36;"haar";3;1421545,90614061;5;11
"129";NA;"LOC";36;"haar";3;1433603,13742001;5;12
"130";NA;"LOC";36;"haar";3;1448152,56654971;5;13
"131";NA;"LOC";36;"haar";3;1446633,70118372;5;14
"132";NA;"LOC";36;"haar";3;1765054,13780035;5;15
"133";NA;"LOC";36;"haar";3;4246847,61891395;5;16
"134";NA;"LOC";36;"haar";3;4570245,38016335;5;17
"135";NA;"LOC";36;"haar";3;4783566,76812528;5;18
"136";NA;"LOC";36;"haar";3;4712439,6041125;5;19
"137";NA;"LOC";36;"haar";4;963735,5;4;1
"138";NA;"LOC";36;"haar";4;1291533,5;4;2
"139";NA;"LOC";36;"haar";4;1876914,25;4;3
"140";NA;"LOC";36;"haar";4;1863751,25;4;4
"141";NA;"LOC";36;"haar";4;1983356,75;4;5
"142";NA;"LOC";36;"haar";4;2037709;4;6
"143";NA;"LOC";36;"haar";4;2271006,25;4;7
"144";NA;"LOC";36;"haar";4;6234626,25;4;8
"145";NA;"LOC";36;"haar";4;6714690,5;4;9
"146";NA;"LOC";36;"haar";5;2240430,88986026;3;1
"147";NA;"LOC";36;"haar";5;2720316,15475702;3;2
"148";NA;"LOC";36;"haar";5;3046721,77147689;3;3
"149";NA;"LOC";36;"haar";5;9156549,68565754;3;4
